Scale	mean_F	mean_P	sd_F	sd_P	n_F	n_P	pooled_sd	cohen_d	eff_FmP	p_mw	fdr	neglog10_fdr
HUTJ700103	206.44709523549417	203.4820850055832	10.276635483132191	10.572989945042584	17	48	10.498517854134361	0.28242179240028054	2.9650102299109733	0.27257620934422283	0.39972972255037503	0.3982335578702583
QIAN880110	-0.045228870304446764	-0.09502597780176289	0.14473389992389277	0.08548840224541386	17	48	0.10378969684339284	0.4797885436784197	0.049797107497316126	0.27257620934422283	0.39972972255037503	0.3982335578702583
QIAN880123	-0.08653197786980565	-0.06468707240808651	0.08645345249244445	0.050706423556398324	17	48	0.061776714739225615	-0.35361066955294973	-0.021844905461719147	0.27257620934422283	0.39972972255037503	0.3982335578702583
FUKS010106	6.218342075364041	5.891012751785027	1.435172061542244	0.7797103065840008	17	48	0.9882569645495902	0.3312188381371015	0.327329323579014	0.2791539288071606	0.4071925308200449	0.3902001969124312
RICJ880103	1.0529513519321616	1.133627533217506	0.29548617888096007	0.21068449772492878	17	48	0.23513681653522592	-0.34310314511406326	-0.08067618128534448	0.2791539288071606	0.4071925308200449	0.3902001969124312
CHAM830105	0.3206644930249466	0.3259107301817322	0.17645445711920735	0.08834537600429822	17	48	0.11717639420967182	-0.044772133433276434	-0.005246237156785627	0.28247768422377506	0.4109449289106515	0.38621637440791773
CHOP780212	0.08588726344919576	0.0893348029395553	0.010706845842490645	0.006620656283394658	17	48	0.007862246517065507	-0.43849292729202016	-0.003447539490359544	0.28583876924174845	0.41145738625062206	0.38567513706054624
QIAN880109	-0.032723523085040195	-0.0677485908721504	0.09667986846371805	0.07840974831707231	17	48	0.08342966975599825	0.41981549117413414	0.03502506778711021	0.28583876924174845	0.41145738625062206	0.38567513706054624
QIAN880122	0.008734171351684174	-0.003152029864677568	0.1497006808367621	0.07450315096789538	17	48	0.09915904477973495	0.11987006573898457	0.011886201216361742	0.28583876924174845	0.41145738625062206	0.38567513706054624
RICJ880104	0.883248703290633	0.9026891698255318	0.11046717819934057	0.08886454536204903	17	48	0.09481833994808515	-0.2050285477001903	-0.019440466534898837	0.28583876924174845	0.41145738625062206	0.38567513706054624
FAUJ880111	0.07728674095437396	0.08797217454618747	0.06706658806382676	0.051022774627906	17	48	0.05553820959793508	-0.192397876510063	-0.010685433591813509	0.29252546578350785	0.41684670828286347	0.3800236236505329
GEOR030109	0.9900190463788124	0.9938333305213762	0.04583337998199371	0.025462878245603005	17	48	0.03189367590471629	-0.1195937449781308	-0.0038142841425637952	0.29263096157334473	0.41684670828286347	0.3800236236505329
MITS020101	0.7142245910840052	0.7389850992486373	0.40425044938760407	0.23571395708464227	17	48	0.2880163433086769	-0.08596910814222607	-0.024760508164632156	0.29263096157334473	0.41684670828286347	0.3800236236505329
QIAN880131	-0.028369917363581156	0.014395012914497672	0.12438009601888679	0.06967516090764952	17	48	0.08689475944556845	-0.4921462531335634	-0.04276493027807883	0.29263096157334473	0.41684670828286347	0.3800236236505329
AURR980105	0.9740398926571451	0.9891253142674433	0.0648434553490335	0.05507947747355468	17	48	0.05771591272520855	-0.2613736991758495	-0.015085421610298244	0.2995306922172992	0.42446447834938517	0.3721586481817165
FAUJ880106	3.676146234474416	3.590698868212911	0.2241977336422499	0.29084931154405785	17	48	0.2754540296832539	0.3102055408656078	0.08544736626150495	0.2995306922172992	0.42446447834938517	0.3721586481817165
PALJ810113	1.1307116730538411	1.1685227948414636	0.2604380262473182	0.22458605072885945	17	48	0.2342117978811335	-0.16143986822906445	-0.03781112178762247	0.30653810224366057	0.4332722013624866	0.36323917429856306
CHAM830107	0.2350481249561782	0.2537936762981941	0.10656702407152367	0.07793913761665626	17	48	0.08611605504639555	-0.21767777601884614	-0.018745551342015915	0.3100716447920716	0.4371370868589257	0.35938234625590276
ISOY800104	0.9535336101369773	0.9923501311903472	0.11027474134515809	0.08812363048752568	17	48	0.09424383159672917	-0.41187333320090763	-0.03881652105336986	0.3136532865693873	0.4410497371554109	0.35551243240484387
AURR980120	0.9265192979714142	0.9182113452422399	0.05982592306354359	0.05702880354705064	17	48	0.0577520185210159	0.1438556251700714	0.008307952729174284	0.3208762931794002	0.4466140772751448	0.35006759208732385
CHOP780207	1.011290668585508	1.0050862457084635	0.09639337788367738	0.0863840547559295	17	48	0.08903277119616729	0.06968695676532734	0.006204422877044591	0.3208762931794002	0.4466140772751448	0.35006759208732385
DAYM780101	5.657500459268424	5.849360032153465	0.5935182868694172	0.37143042949473754	17	48	0.4386192226377531	-0.4374171558903467	-0.19185957288504074	0.3208762931794002	0.4466140772751448	0.35006759208732385
GEIM800103	1.023000655262022	1.0016992439889394	0.11173641196036503	0.06178881714322634	17	48	0.07758249419529813	0.27456466170655397	0.021301411273082715	0.3208762931794002	0.4466140772751448	0.35006759208732385
FUKS010105	6.162869628838223	5.7960634829480115	1.6082206523585643	0.8767535049592354	17	48	1.1092019436578342	0.33069374606448	0.36680614589021143	0.3282071223777993	0.4545045466852056	0.34246176790863825
RACS820107	1.1498649262422118	1.1731474937004567	0.1328314681255522	0.10816235997345526	17	48	0.11493025491654847	-0.20257996882675036	-0.023282567458244863	0.32820183702278277	0.4545045466852056	0.34246176790863825
AURR980102	0.9976320240135041	1.009405603625186	0.04347219103195939	0.03930727866356756	17	48	0.040405724806330284	-0.2913839478963449	-0.011773579611681795	0.33564572607054427	0.4601458951393176	0.33710444786603283
